,04.05_16.41,04.05_16.49,04.05_17.04,04.05_17.12,04.05_17.32,04.05_17.57
CONSOLIDATE_LABELS,True,True,True,True,True,True
CONSOLIDATE_OTHER,True,True,True,True,True,True
DATA_AUGMENTATION,False,False,False,False,False,False
TRAIN_SPLIT_PROP,0.5,0.5,0.5,0.5,0.5,0.5
PRETRAINED_LM,bert-base-uncased,bert-base-uncased,bert-base-uncased,bert-base-uncased,bert-base-uncased,bert-base-uncased
LOGGING,False,False,False,False,False,False
MAX_LENGTH,64,64,64,128,128,128
BATCH_SIZE,128,128,128,128,128,128
NUM_EPOCHS,20,20,20,20,20,20
LEARNING_RATE,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05
DROPOUT,0.3,0.3,0.3,0.3,0.3,0.3
BALANCE_FACTOR,0.3,0.5,0.7,0.3,0.5,0.7
PATIENCE,1,1,1,1,1,1
PREPROCESS_FOR_TUNING,True,True,True,True,True,True
PREPROCESS_ONLY_ONCE,False,False,False,False,False,False
train_accuracy,0.7903840096217176,0.8484484025848821,0.81415194295696,0.8088733617784905,0.8358008075370121,0.8487729446464878
train_precision,0.8145859333270512,0.8742281639242486,0.8325388690055264,0.8343250024411414,0.8622071587132508,0.8682275095425421
train_recall,0.8139347654102927,0.8686915136351141,0.8280648460632267,0.8321902156939814,0.8572975735510763,0.86198781314456
train_f1,0.8137270336582141,0.8712391680926826,0.8299036277008544,0.8329584391598763,0.8595294962098537,0.8648064637239291
valid_accuracy,0.7550494444656561,0.7641365354511092,0.7438051238975221,0.7605856973769616,0.7603757015768775,0.7555457981749456
valid_precision,0.7928010702968958,0.8059492616234724,0.8024184810330507,0.7969116741354286,0.8071218079629758,0.8066700082619208
valid_recall,0.7600570806499317,0.7592868762299358,0.7284550168072988,0.7589226424154073,0.7460639352591276,0.7420126555149597
valid_f1,0.7735880593559569,0.7797871999048189,0.7590817191700514,0.7757006617355556,0.7722870386602825,0.7689414302332828
epochs,3.0,6.0,3.0,4.0,5.0,5.0
time_min,6.58,13.1,6.57,18.46,23.1,23.04
