,04.06_09.13,04.06_09.28,04.06_09.38,04.06_09.50,04.06_10.10,04.06_10.40,04.06_10.59,04.06_11.28,04.06_12.03
CONSOLIDATE_LABELS,True,True,True,True,True,True,True,True,True
CONSOLIDATE_OTHER,True,True,True,True,True,True,True,True,True
DATA_AUGMENTATION,False,False,False,False,False,False,False,False,False
TRAIN_SPLIT_PROP,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PRETRAINED_LM,bert-base-uncased,bert-base-uncased,bert-base-uncased,bert-base-uncased,bert-base-uncased,bert-base-uncased,bert-large-uncased,bert-large-uncased,bert-large-uncased
LOGGING,False,False,False,False,False,False,False,False,False
MAX_LENGTH,64,64,64,128,128,128,64,64,64
BATCH_SIZE,128,128,128,128,128,128,128,128,128
NUM_EPOCHS,20,20,20,20,20,20,20,20,20
LEARNING_RATE,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05
DROPOUT,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
BALANCE_FACTOR,0.3,0.5,0.7,0.3,0.5,0.7,0.3,0.5,0.7
PATIENCE,1,1,1,1,1,1,1,1,1
PREPROCESS_FOR_TUNING,True,True,True,True,True,True,True,True,True
PREPROCESS_ONLY_ONCE,False,False,False,False,False,False,False,False,False
train_accuracy,0.8411748422630128,0.8200509721943816,0.84399072191518,0.8094747191279363,0.8486106736156849,0.8304267728110115,0.8313908536410756,0.8613441768563329,0.8550919694930462
train_precision,0.8662798941418499,0.8461988555651285,0.8644838349966121,0.835139956245179,0.8738012636078795,0.8498909460057087,0.8577701168794415,0.886720888200775,0.8740693297948825
train_recall,0.862976186617886,0.8405030411861247,0.8581689918768325,0.8334466945058631,0.8679903675621018,0.8450005894256144,0.8531706714834689,0.8809952051352774,0.8687879479467115
train_f1,0.8644209304263324,0.843024895781264,0.8610291956631528,0.8339933014767124,0.8706730668871137,0.8471052779128689,0.8551690249377867,0.8836707707614341,0.8711853998503895
valid_accuracy,0.7703409568172273,0.7549158107746936,0.7554121644839831,0.7637547249055019,0.7669237524340422,0.7536558359741896,0.7704364094536291,0.7676682829979764,0.7602229773586346
valid_precision,0.7965318904255229,0.8059946390161566,0.806829952595133,0.7966428988441587,0.8050728607630778,0.8044306374293807,0.8041073752655964,0.8076016189285193,0.814805726052454
valid_recall,0.7725425759067328,0.7389239073881427,0.7429849851361956,0.7701544079775706,0.7599664456575684,0.743198805466748,0.772860855220376,0.7587743654383238,0.7451029951019681
valid_f1,0.7832868493126043,0.7668939831388387,0.7697098742068825,0.7807717591717986,0.7804000859405372,0.7684191749716128,0.7863854999065303,0.7803414111901095,0.7744771864168506
epochs,6.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,4.0
time_min,13.13,8.75,10.96,18.4,27.63,18.41,26.78,33.37,26.69
